epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1192.43,0.49634,0.37132,0.82562,0.98178,0.9337,0.9724,0.88883,0.44594,0.37736,0.81276,0.000339673,0.000339673,0.000339673
79,1208.66,0.49224,0.36796,0.82603,0.98189,0.939,0.97403,0.88957,0.44907,0.38115,0.81478,0.000325526,0.000325526,0.000325526
80,1224.72,0.47854,0.35778,0.82679,0.97914,0.94347,0.97586,0.89759,0.42924,0.36534,0.81155,0.000311379,0.000311379,0.000311379
81,1240.47,0.47789,0.35751,0.82776,0.97737,0.93957,0.97289,0.89352,0.42101,0.37634,0.81137,0.000297232,0.000297232,0.000297232
82,1256.54,0.49682,0.36842,0.8324,0.98273,0.9348,0.9715,0.89125,0.44584,0.38075,0.81313,0.000283085,0.000283085,0.000283085
83,1272.58,0.48593,0.36845,0.83366,0.97088,0.9408,0.972,0.88746,0.44015,0.3883,0.81396,0.000268938,0.000268938,0.000268938
84,1288.78,0.48339,0.3641,0.82494,0.96162,0.94489,0.97411,0.88778,0.44544,0.37825,0.81405,0.000254791,0.000254791,0.000254791
85,1305.33,0.48885,0.3658,0.82931,0.98095,0.936,0.97062,0.88365,0.44601,0.3679,0.81436,0.000240644,0.000240644,0.000240644
86,1321.61,0.47521,0.36094,0.82411,0.97309,0.9498,0.97454,0.89442,0.42107,0.36466,0.81323,0.000226497,0.000226497,0.000226497
87,1337.36,0.47506,0.35777,0.82453,0.96535,0.953,0.97637,0.88698,0.44282,0.36295,0.81676,0.000212349,0.000212349,0.000212349
88,1353.36,0.4759,0.35893,0.82623,0.97393,0.94609,0.97163,0.8886,0.43441,0.36465,0.81627,0.000198202,0.000198202,0.000198202
89,1369.07,0.46866,0.35324,0.82565,0.97317,0.94347,0.97324,0.89191,0.42121,0.35761,0.81126,0.000184055,0.000184055,0.000184055
90,1385,0.46284,0.34483,0.82142,0.98137,0.94634,0.97497,0.89119,0.42885,0.35398,0.81136,0.000169908,0.000169908,0.000169908
91,1400.47,0.46396,0.34779,0.81925,0.97591,0.94482,0.96961,0.88765,0.43845,0.36208,0.81056,0.000155761,0.000155761,0.000155761
92,1415.71,0.45216,0.33703,0.8198,0.96718,0.94963,0.97201,0.88374,0.45361,0.37062,0.81023,0.000141614,0.000141614,0.000141614
93,1430.76,0.43112,0.32133,0.80687,0.97878,0.94131,0.97721,0.89276,0.43823,0.35978,0.81067,0.000127467,0.000127467,0.000127467
94,1445.85,0.44123,0.327,0.81475,0.96927,0.94844,0.97129,0.88731,0.45324,0.36328,0.81177,0.00011332,0.00011332,0.00011332
95,1461.11,0.43721,0.31711,0.81545,0.97732,0.94061,0.9721,0.89375,0.41863,0.35291,0.80858,9.91726e-05,9.91726e-05,9.91726e-05
96,1476.37,0.4201,0.31229,0.81084,0.97919,0.9421,0.97114,0.89464,0.41507,0.35886,0.80792,8.50255e-05,8.50255e-05,8.50255e-05
97,1491.7,0.41755,0.31025,0.81502,0.97456,0.94351,0.9742,0.89444,0.41467,0.35306,0.80969,7.08784e-05,7.08784e-05,7.08784e-05
98,1507.46,0.4194,0.31247,0.81306,0.97684,0.94561,0.97208,0.89126,0.42285,0.34947,0.80962,5.67313e-05,5.67313e-05,5.67313e-05
99,1522.8,0.41281,0.30787,0.80966,0.97641,0.94852,0.97358,0.90205,0.40996,0.34069,0.80914,4.25842e-05,4.25842e-05,4.25842e-05
100,1538.23,0.40909,0.29782,0.81013,0.97904,0.94807,0.97307,0.90205,0.39985,0.34072,0.80778,2.84371e-05,2.84371e-05,2.84371e-05
